"Course Title","Courses - LONG_CLASS_TITLE","First Name","Last Name","Quarter","Invites","Resp.","%Resp","Q1 Average Number of Hours Per Week Spent in Preparation","Q2 Info Clearly Conveyed","Q3 Info Conveyed In an Interesting Way","Q4 Acquired Useful Tools","Q5 Amount Learned from Course","Q6 Recommend Course to Others"
"BUSN 30000 01","Financial Accounting","Amoray","Cragun","Winter 2020","64","44","68.750000000000000","3.050000000000000","4.140000000000000","4.090000000000000","4.070000000000000","3.640000000000000","3.840000000000000"
"BUSN 30000 01","Financial Accounting","Valeri","Nikolaev","Autumn 2020","69","45","65.220000000000000","5.130000000000000","4.360000000000000","4.220000000000000","4.420000000000000","4.180000000000000","4.240000000000000"
"BUSN 30000 02","Financial Accounting","Valeri","Nikolaev","Autumn 2020","70","46","65.710000000000000","4.170000000000000","4.480000000000000","4.150000000000000","4.540000000000000","4.220000000000000","4.280000000000000"
"BUSN 30000 03","Financial Accounting","Joao Pedro","Bacelar Fernandes Granja","Autumn 2020","62","39","62.900000000000000","4.260000000000000","4.260000000000000","4.330000000000000","4.460000000000000","4.230000000000000","4.410000000000000"
"BUSN 30000 04","Financial Accounting","Joao Pedro","Bacelar Fernandes Granja","Autumn 2020","62","41","66.130000000000000","4.510000000000000","4.200000000000000","4.460000000000000","4.220000000000000","3.850000000000000","4.120000000000000"
"BUSN 30000 05","Financial Accounting","Anastasia","Zakolyukina","Autumn 2020","51","39","76.470000000000000","5.850000000000000","4.560000000000000","4.460000000000000","4.770000000000000","4.460000000000000","4.490000000000000"
"BUSN 30000 06","Financial Accounting","Anastasia","Zakolyukina","Autumn 2020","27","16","59.260000000000000","7.690000000000000","4.630000000000000","4.560000000000000","4.630000000000000","4.500000000000000","4.560000000000000"
"BUSN 30000 07","Financial Accounting","Joao Pedro","Bacelar Fernandes Granja","Autumn 2020","65","39","60.000000000000000","4.870000000000000","4.790000000000000","4.850000000000000","4.490000000000000","4.260000000000000","4.490000000000000"
"BUSN 30000 81","Financial Accounting","J Douglas","Hanna","Summer 2020","61","44","72.130000000000000","6.820000000000000","4.300000000000000","3.660000000000000","4.230000000000000","3.890000000000000","3.950000000000000"
"BUSN 30000 81","Financial Accounting","Anya","Kleymenova","Spring 2020","63","32","50.790000000000000","8.160000000000000","4.280000000000000","4.220000000000000","4.410000000000000","4.220000000000000","4.090000000000000"
"BUSN 30000 81","Financial Accounting","Amoray","Cragun","Winter 2020","50","44","88.000000000000000","4.890000000000000","4.450000000000000","4.430000000000000","4.590000000000000","4.430000000000000","4.430000000000000"
"BUSN 30000 81","Financial Accounting","Valeri","Nikolaev","Autumn 2020","46","32","69.570000000000000","6.190000000000000","4.250000000000000","4.060000000000000","4.380000000000000","4.190000000000000","4.090000000000000"
"BUSN 30000 82","Financial Accounting","Maximilian","Muhn","Spring 2020","63","34","53.970000000000000","7.740000000000000","4.030000000000000","4.150000000000000","4.320000000000000","4.150000000000000","4.030000000000000"
"BUSN 30000 82","Financial Accounting","Pingyang","Gao","Winter 2020","45","28","62.220000000000000","5.110000000000000","4.140000000000000","4.070000000000000","4.360000000000000","4.000000000000000","4.000000000000000"
"BUSN 30000 82","Financial Accounting","Joao Pedro","Bacelar Fernandes Granja","Autumn 2020","65","55","84.620000000000000","5.840000000000000","4.220000000000000","4.690000000000000","4.450000000000000","4.330000000000000","4.450000000000000"
"BUSN 30000 83","Financial Accounting","Pingyang","Gao","Winter 2020","11","7","63.640000000000000","5.000000000000000","4.570000000000000","4.430000000000000","4.140000000000000","4.140000000000000","4.140000000000000"
