Course,Title,Quarter,Year,Day and Time,Instructor,Total Enrollment after  Phase 1,Seats Available after Phase 1,Phase 1 Price,Total Enrollment after  Phase 2,Seats Available after Phase 2,Phase 2 Price,Total Enrollment after  Phase 1 New Students,Seats Available after Phase 1 New Students,Phase 1 New Students Price,Total Enrollment after  Phase 2 New Students,Seats Available after Phase 2 New Students,Phase 2 New Students Price,Total Enrollment after  Phase 3,Seats Available after Phase 3,Phase 3 Price,Total Enrollment after  Phase 4,Seats Available after Phase 4,Phase 4 Price
30000-01,Financial Accounting,Autumn,2018,"Friday, 8:30 - 11:30","Granja, Joao",2,63,0,2,63,N/A,22,43,0,20,45,0,19,46,0,18,47,N/A
30000-02,Financial Accounting,Autumn,2018,"Friday, 1:30 -  4:30","Granja, Joao",0,65,N/A,2,63,0,48,17,0,55,10,0,47,18,0,44,21,N/A
30000-03,Financial Accounting,Autumn,2018,"Wednesday, 8:30 - 11:30","Bonham, Jonathan",8,57,0,13,52,0,65,CLO,712,65,CLO,2967,65,CLO,0,65,CLO,N/A
30000-04,Financial Accounting,Autumn,2018,"Wednesday, 1:30 -  4:30","Bonham, Jonathan",9,56,0,8,57,N/A,65,CLO,1020,65,CLO,3213,65,CLO,3113,65,CLO,N/A
30000-05,Financial Accounting,Autumn,2018,"Wednesday, 8:30 - 11:30","Nikolaev, Valeri",5,60,0,2,63,N/A,53,12,0,65,CLO,1500,65,CLO,N/A,64,1,N/A
30000-06,Financial Accounting,Autumn,2018,"Tuesday, 1:30 -  4:30","Nikolaev, Valeri",4,61,0,5,60,0,47,18,0,65,CLO,551,60,5,0,65,CLO,11
30000-81,Financial Accounting,Autumn,2018,"Wednesday, 6:00 -  9:00","Bonham, Jonathan",7,58,0,7,58,N/A,36,29,0,30,35,0,43,22,0,46,19,0
30000-83,Financial Accounting,Autumn,2018,"Tuesday, 6:00 -  9:00","Nikolaev, Valeri",3,62,0,3,62,N/A,28,37,0,28,37,0,31,34,0,27,38,N/A
30000-85,Financial Accounting,Autumn,2018,"Saturday, 9:00 - 12:00","Granja, Joao",4,61,0,5,60,0,53,12,0,53,12,0,47,18,0,47,18,N/A
30000-86,Financial Accounting,Autumn,2018,"Saturday, 1:30 -  4:30","Zakolyukina, Anastasia",5,35,0,5,35,N/A,28,12,0,27,13,0,27,13,0,26,14,N/A
30116-01,Accounting and Financial Analysis I,Autumn,2018,"Thursday, 1:30 -  4:30","Soffer, Leonard",22,43,0,19,46,N/A,65,CLO,700,65,CLO,3543,65,CLO,3118,65,CLO,1179
30116-81,Accounting and Financial Analysis I,Autumn,2018,"Wednesday, 6:00 -  9:00","Soffer, Leonard",14,51,0,12,53,0,19,46,0,17,48,N/A,28,37,0,25,40,N/A
30116-85,Accounting and Financial Analysis I,Autumn,2018,"Saturday, 1:30 -  4:30","Soffer, Leonard",11,54,0,12,53,0,13,52,0,13,52,N/A,10,55,N/A,11,54,0
30118-01,Taxes and Business Strategy,Autumn,2018,"Wednesday, 1:30 -  4:30","Erickson, Merle",23,42,0,31,34,0,62,3,0,65,CLO,1579,65,CLO,31,65,CLO,1600
30118-02,Taxes and Business Strategy,Autumn,2018,"Thursday, 8:30 - 11:30","Erickson, Merle",31,34,0,35,30,0,36,29,0,36,29,N/A,39,26,0,40,25,0
30118-81,Taxes and Business Strategy,Autumn,2018,"Wednesday, 6:00 -  9:00","Erickson, Merle",25,40,0,21,44,0,22,43,0,22,43,N/A,20,45,0,19,46,0
30130-01,Financial Statement Analysis,Autumn,2018,"Friday, 1:30 -  4:30","Hand, John",70,CLO,452,70,CLO,7000,70,CLO,N/A,70,CLO,N/A,70,CLO,8000,70,CLO,5800
30130-81,Financial Statement Analysis,Autumn,2018,"Friday, 6:00 -  9:00","Hand, John",65,CLO,2500,65,CLO,5251,65,CLO,N/A,65,CLO,N/A,65,CLO,4221,65,CLO,10001
30130-85,Financial Statement Analysis,Autumn,2018,"Saturday, 9:00 - 12:00","Hand, John",51,14,0,58,7,0,65,CLO,2002,65,CLO,N/A,65,CLO,8000,65,CLO,3973
30600-60,Workshop in Accounting Research,Autumn,2018,"Thursday, 1:20 -  2:50","Minnis, Michael;Nikolaev, Valeri",4,61,0,5,60,0,5,60,N/A,5,60,N/A,8,57,0,8,57,N/A
33001-01,Microeconomics,Autumn,2018,"Monday, 8:30 - 11:30","Frankel, Alexander",2,63,0,2,63,N/A,65,CLO,0,48,17,N/A,48,17,0,45,20,N/A
33001-02,Microeconomics,Autumn,2018,"Monday, 1:30 -  4:30","Frankel, Alexander",6,59,0,6,59,0,28,37,0,56,9,0,56,9,0,53,12,0
33001-03,Microeconomics,Autumn,2018,"Thursday, 1:30 -  4:30","Gibbs, Michael",6,64,0,7,63,0,70,CLO,1308,70,CLO,2005,70,CLO,N/A,70,CLO,2000
33001-04,Microeconomics,Autumn,2018,"Tuesday, 1:30 -  4:30","Hornbeck, Richard",7,63,0,8,62,0,60,10,0,70,CLO,505,68,2,0,66,4,0
33001-05,Microeconomics,Autumn,2018,"Wednesday, 8:30 - 11:30","Hornbeck, Richard",4,66,0,5,65,0,60,10,0,70,CLO,1789,70,CLO,204,70,CLO,1
33001-06,Microeconomics,Autumn,2018,"Friday, 8:30 - 11:30","Zimmerman, Seth",3,62,0,3,62,N/A,44,21,0,58,7,0,63,2,0,62,3,0
33001-07,Microeconomics,Autumn,2018,"Friday, 1:30 -  4:30","Zimmerman, Seth",3,62,0,4,61,0,65,CLO,100,65,CLO,200,64,1,N/A,63,2,N/A
33001-81,Microeconomics,Autumn,2018,"Monday, 6:00 -  9:00","Frankel, Alexander",11,54,0,10,55,N/A,30,35,0,29,36,0,27,38,0,28,37,0
33001-82,Microeconomics,Autumn,2018,"Wednesday, 6:00 -  9:00","Gibbs, Michael",21,44,0,20,45,N/A,52,13,0,46,19,N/A,49,16,0,48,17,N/A
33001-83,Microeconomics,Autumn,2018,"Tuesday, 6:00 -  9:00","Hornbeck, Richard",11,54,0,11,54,N/A,21,44,0,22,43,0,27,38,0,28,37,0
33001-85,Microeconomics,Autumn,2018,"Saturday, 1:30 -  4:30","Zimmerman, Seth",10,60,0,10,60,N/A,70,CLO,27,69,1,0,70,CLO,2559,68,2,N/A
33002-01,Accelerated Microeconomics,Autumn,2018,"Monday, 1:30 -  4:30","Topel, Robert",0,65,N/A,0,65,N/A,47,18,0,46,19,0,40,25,0,34,31,N/A
33002-81,Accelerated Microeconomics,Autumn,2018,"Tuesday, 6:00 -  9:00","Topel, Robert",5,60,0,4,61,N/A,12,53,0,8,57,N/A,10,55,0,9,56,N/A
