Quarter,Section,Title,Program,Instructor,,Meeting Day/Time,Building,Location,Prerequisites,Syllabus,Note
Spring 2021,28620-01,Crony Capitalism,Full-Time MBA,"Zingales, Luigi",,TH 8:30AM-11:30AM,Harper Center,C25,"This course will be offered as ECON 28620. Students must complete a poll which will open Feb. 22, 2021. See details in text of description.",Syllabus,"Faculty In-Person, Dual Modality"
Autumn 2020,30000-01,Financial Accounting,Full-Time MBA,"Nikolaev, Valeri",,M 8:30AM-11:30AM,,TBA,Cannot enroll in BUSN 30000 if BUSN 20100 taken previously.,Syllabus,Remote-Only
Autumn 2020,30000-02,Financial Accounting,Full-Time MBA,"Nikolaev, Valeri",,M 1:30PM-4:30PM,,TBA,Cannot enroll in BUSN 30000 if BUSN 20100 taken previously.,Syllabus,Remote-Only
Autumn 2020,30000-03,Financial Accounting,Full-Time MBA,"Granja, Joao",,T 1:30PM-4:30PM,Harper Center,C25,Cannot enroll in BUSN 30000 if BUSN 20100 taken previously.,Syllabus,"Faculty In-Person, Dual Modality"
Autumn 2020,30000-04,Financial Accounting,Full-Time MBA,"Granja, Joao",,W 1:30PM-4:30PM,Gleacher Center,300,Cannot enroll in BUSN 30000 if BUSN 20100 taken previously.,Syllabus,"Faculty In-Person, Dual Modality"
Autumn 2020,30000-05,Financial Accounting,Full-Time MBA,"Zakolyukina, Anastasia",,F 8:30AM-11:30AM,,TBA,Cannot enroll in BUSN 30000 if BUSN 20100 taken previously.,Syllabus,Remote-Only
Autumn 2020,30000-06,Financial Accounting,Full-Time MBA,"Zakolyukina, Anastasia",,F 1:30PM-4:30PM,,TBA,Cannot enroll in BUSN 30000 if BUSN 20100 taken previously.,Syllabus,Remote-Only
Autumn 2020,30000-07,Financial Accounting,Full-Time MBA,"Granja, Joao",,T 6:00PM-9:00PM,Harper Center,C25,Cannot enroll in BUSN 30000 if BUSN 20100 taken previously.,Syllabus,"Faculty In-Person, Dual Modality"
Winter 2021,30000-01,Financial Accounting,Full-Time MBA,"Rauter, Thomas",,W 8:30AM-11:30AM,,TBA,Cannot enroll in BUSN 30000 if BUSN 20100 taken previously.,Syllabus,Remote-Only
Winter 2021,30001-01,Cost Analysis and Internal Controls,Full-Time MBA,"Gallemore, John",,M 1:30PM-4:30PM,,TBA,"Business 30000, 33001, 41000 (or 41100).  Cannot enroll in BUSN 30001 if BUSN 20101 taken previously.  Non-Booth students require faculty permission.",Syllabus,Remote-Only
Spring 2021,30001-01,Cost Analysis and Internal Controls,Full-Time MBA,"Stewart, Christopher",,T 8:30AM-11:30AM,,TBA,"Business 30000, 33001, 41000 (or 41100). Cannot enroll in BUSN 30001 if BUSN 20101 taken previously. Non-Booth students require faculty permission.",Syllabus,Remote-Only
Autumn 2020,30116-01,Accounting and Financial Analysis ,Full-Time MBA,"Christensen, Hans",,M 1:30PM-4:30PM,Gleacher Center,204,Bus 30000 or equiv. Can’t enroll in 30116 if BUSN 20140 taken previously,Syllabus,"Faculty In-Person, Dual Modality"
Autumn 2020,30116-02,Accounting and Financial Analysis ,Full-Time MBA,"Christensen, Hans",,T 1:30PM-4:30PM,Harper Center,C04,Bus 30000 or equiv. Can’t enroll in 30116 if BUSN 20140 taken previously,Syllabus,"Faculty In-Person, Dual Modality"
Winter 2021,30116-01,Accounting and Financial Analysis ,Full-Time MBA,"Soffer, Leonard",,W 8:30AM-11:30AM,,TBA,Bus 30000 or equiv. Cannot enroll in BUSN 30116 if BUSN 20140 taken previously.  No undergrads.,Syllabus,Remote-Only
Autumn 2020,30118-01,Taxes and Business Strategy,Full-Time MBA,"Erickson, Merle",,W 1:30PM-4:30PM,,TBA,Bus 30000.  Bus 35200 useful.  No prior tax knowledge needed.,Syllabus,Remote-Only
Autumn 2020,30118-02,Taxes and Business Strategy,Full-Time MBA,"Erickson, Merle",,TH 8:30AM-11:30AM,,TBA,Bus 30000.  Bus 35200 useful.  No prior tax knowledge needed.,Syllabus,Remote-Only
Spring 2021,30118-01,Taxes and Business Strategy,Full-Time MBA,"Weiss, Ira",,W 1:30PM-4:30PM,Gleacher Center,200,Bus 30000.  Bus 35200 useful.  No prior tax knowledge needed.,Syllabus,"Faculty In-Person, Dual Modality"
Spring 2021,30120-01,"Accounting, Economic, and Regulatory Issues in Complex Deals ",Full-Time MBA,"Maffett, Mark",,W 8:30AM-11:30AM,,TBA,Bus 30000 (or equivalent) strongly recommended.,Syllabus,Remote-Only
Winter 2021,30121-01,Accounting for Entrepreneurship:  From Start-Up through IPO,Full-Time MBA,"Weiss, Ira",,T 1:30PM-4:30PM,Gleacher Center,100,BUS 30000 Financial Accounting.  Cannot enroll in BUSN 30121 if BUSN 20160 taken previously.,Syllabus,"Faculty In-Person, Dual Modality"
Winter 2021,30121-02,Accounting for Entrepreneurship:  From Start-Up through IPO,Full-Time MBA,"Weiss, Ira",,W 1:30PM-4:30PM,Gleacher Center,100,BUS 30000 Financial Accounting.  Cannot enroll in BUSN 30121 if BUSN 20160 taken previously.,Syllabus,"Faculty In-Person, Dual Modality"
Autumn 2020,30130-01,Financial Statement Analysis,Full-Time MBA,"Minnis, Michael",,W 8:30AM-11:30AM,Gleacher Center,308,Bus 30000 (or 30116) and Bus 35000 (or 35001) strongly recommended.  Bus 35200 strongly recommended (may be concurrent).  Cannot enroll in BUSN 30130 if BUSN 20150 taken previously.,Syllabus,"Faculty Remote, Dual Modality"
